imovel,hospede,checkin,checkout,valor,origem
405H,Mensalista,01/01/2025,01/02/2025,"2.500,00",Direto
405H,Mensalista,01/02/2025,01/03/2025,"2.500,00",Direto
405H,Mensalista,01/03/2025,01/04/2025,"2.500,00",Direto
405H,Mensalista,01/04/2025,01/05/2025,"2.500,00",Direto
405H,Mensalista,01/05/2025,01/06/2025,"2.500,00",Direto
405H,Mensalista,01/06/2025,01/07/2025,"2.500,00",Direto
405H,Mensalista,01/07/2025,01/08/2025,"2.500,00",Direto
405H,Mensalista,01/08/2025,01/09/2025,"2.500,00",Direto
405H,Mensalista,01/09/2025,01/10/2025,"2.500,00",Direto
405H,Mensalista,01/10/2025,01/11/2025,"2.500,00",Direto
405H,Mensalista,01/11/2025,01/12/2025,"2.500,00",Direto
405H,Mensalista,01/12/2025,01/01/2026,"2.500,00",Direto
409H,Mensalista,01/01/2025,01/02/2025,"2.500,00",Direto
409H,Mensalista,01/02/2025,01/03/2025,"2.500,00",Direto
409H,Mensalista,01/03/2025,01/04/2025,"2.500,00",Direto
409H,Mensalista,01/04/2025,01/05/2025,"2.500,00",Direto
409H,Mensalista,01/05/2025,01/06/2025,"2.500,00",Direto
409H,Mensalista,01/06/2025,01/07/2025,"2.500,00",Direto
409H,Mensalista,01/07/2025,01/08/2025,"2.500,00",Direto
409H,Mensalista,01/08/2025,01/09/2025,"2.500,00",Direto
409H,Mensalista,01/09/2025,01/10/2025,"2.500,00",Direto
409H,Mensalista,01/10/2025,01/11/2025,"2.500,00",Direto
409H,Mensalista,01/11/2025,01/12/2025,"2.500,00",Direto
409H,Mensalista,01/12/2025,01/01/2026,"2.500,00",Direto
410H,Mensalista,01/01/2025,01/02/2025,"2.500,00",Direto
410H,Mensalista,01/02/2025,01/03/2025,"2.500,00",Direto
410H,Mensalista,01/03/2025,01/04/2025,"2.500,00",Direto
410H,Mensalista,01/04/2025,01/05/2025,"2.500,00",Direto
410H,Mensalista,01/05/2025,01/06/2025,"2.500,00",Direto
410H,Mensalista,01/06/2025,01/07/2025,"2.500,00",Direto
410H,Mensalista,01/07/2025,01/08/2025,"2.500,00",Direto
410H,Mensalista,01/08/2025,01/09/2025,"2.500,00",Direto
410H,Mensalista,01/09/2025,01/10/2025,"2.500,00",Direto
410H,Mensalista,01/10/2025,01/11/2025,"2.500,00",Direto
410H,Mensalista,01/11/2025,01/12/2025,"2.500,00",Direto
410H,Mensalista,01/12/2025,01/01/2026,"2.500,00",Direto
302G,Mensalista,01/01/2025,01/02/2025,"2.000,00",Direto
302G,Mensalista,01/02/2025,01/03/2025,"2.000,00",Direto
302G,Mensalista,01/03/2025,01/04/2025,"2.000,00",Direto
302G,Mensalista,01/04/2025,01/05/2025,"2.000,00",Direto
302G,Mensalista,01/05/2025,01/06/2025,"2.000,00",Direto
302G,Mensalista,01/06/2025,01/07/2025,"2.000,00",Direto
302G,Mensalista,01/07/2025,01/08/2025,"2.000,00",Direto
302G,Mensalista,01/08/2025,01/09/2025,"2.000,00",Direto
302G,Mensalista,01/09/2025,01/10/2025,"2.000,00",Direto
302G,Mensalista,01/10/2025,01/11/2025,"2.000,00",Direto
302G,Mensalista,01/11/2025,01/12/2025,"2.000,00",Direto
302G,Mensalista,01/12/2025,01/01/2026,"2.000,00",Direto
604G,Mensalista,01/01/2025,01/02/2025,"1.800,00",Direto
604G,Mensalista,01/02/2025,01/03/2025,"1.800,00",Direto
604G,Mensalista,01/03/2025,01/04/2025,"1.800,00",Direto
604G,Mensalista,01/04/2025,01/05/2025,"1.800,00",Direto
604G,Mensalista,01/05/2025,01/06/2025,"1.800,00",Direto
604G,Mensalista,01/06/2025,01/07/2025,"1.800,00",Direto
604G,Mensalista,01/07/2025,01/08/2025,"1.800,00",Direto
604G,Mensalista,01/08/2025,01/09/2025,"1.800,00",Direto
604G,Mensalista,01/09/2025,01/10/2025,"1.800,00",Direto
604G,Mensalista,01/10/2025,01/11/2025,"1.800,00",Direto
