imovel,hospede,checkin,checkout,valor,origem
405H,Mensalista,01/01/2026,01/02/2026,"2.575,00",Direto
405H,Mensalista,01/02/2026,01/03/2026,"2.575,00",Direto
405H,Mensalista,01/03/2026,01/04/2026,"2.575,00",Direto
405H,Mensalista,01/04/2026,01/05/2026,"2.575,00",Direto
405H,Mensalista,01/05/2026,01/06/2026,"2.575,00",Direto
409H,Mensalista,01/01/2026,01/02/2026,"2.575,00",Direto
409H,Mensalista,01/02/2026,01/03/2026,"2.575,00",Direto
409H,Mensalista,01/03/2026,01/04/2026,"2.575,00",Direto
409H,Mensalista,01/04/2026,01/05/2026,"2.575,00",Direto
409H,Mensalista,01/05/2026,01/06/2026,"2.575,00",Direto
410H,Mensalista,01/01/2026,01/02/2026,"2.575,00",Direto
410H,Mensalista,01/02/2026,01/03/2026,"2.575,00",Direto
410H,Mensalista,01/03/2026,01/04/2026,"2.575,00",Direto
410H,Mensalista,01/04/2026,01/05/2026,"2.575,00",Direto
410H,Mensalista,01/05/2026,01/06/2026,"2.575,00",Direto
302G,Mensalista,01/01/2026,01/02/2026,"2.060,00",Direto
302G,Mensalista,01/02/2026,01/03/2026,"2.060,00",Direto
302G,Mensalista,01/03/2026,01/04/2026,"2.060,00",Direto
302G,Mensalista,01/04/2026,01/05/2026,"2.060,00",Direto
302G,Mensalista,01/05/2026,01/06/2026,"2.060,00",Direto
604G,Mensalista,01/01/2026,01/02/2026,"1.854,00",Direto
604G,Mensalista,01/02/2026,01/03/2026,"1.854,00",Direto
604G,Mensalista,01/03/2026,01/04/2026,"1.854,00",Direto
604G,Mensalista,01/04/2026,01/05/2026,"1.854,00",Direto
604G,Mensalista,01/05/2026,01/06/2026,"1.854,00",Direto
704G,Mensalista,01/01/2026,01/02/2026,"2.472,00",Direto
704G,Mensalista,01/02/2026,01/03/2026,"2.472,00",Direto
704G,Mensalista,01/03/2026,01/04/2026,"2.472,00",Direto
704G,Mensalista,01/04/2026,01/05/2026,"2.472,00",Direto
704G,Mensalista,01/05/2026,01/06/2026,"2.472,00",Direto
801G,Mensalista,01/01/2026,01/02/2026,"2.060,00",Direto
801G,Mensalista,01/02/2026,01/03/2026,"2.060,00",Direto
801G,Mensalista,01/03/2026,01/04/2026,"2.060,00",Direto
801G,Mensalista,01/04/2026,01/05/2026,"2.060,00",Direto
801G,Mensalista,01/05/2026,01/06/2026,"2.060,00",Direto
404H,Hospede,01/01/2026,06/01/2026,"990,35",Airbnb
404H,Hospede,09/01/2026,15/01/2026,"1.188,41",Booking
404H,Hospede,18/01/2026,25/01/2026,"1.386,48",Direto
404H,Hospede,01/02/2026,06/02/2026,"990,35",Airbnb
404H,Hospede,09/02/2026,15/02/2026,"1.188,41",Booking
404H,Hospede,18/02/2026,25/02/2026,"1.386,48",Direto
404H,Hospede,01/03/2026,06/03/2026,"990,35",Airbnb
404H,Hospede,09/03/2026,15/03/2026,"1.188,41",Booking
404H,Hospede,18/03/2026,25/03/2026,"1.386,48",Direto
404H,Hospede,01/04/2026,06/04/2026,"990,35",Airbnb
404H,Hospede,09/04/2026,15/04/2026,"1.188,41",Booking
404H,Hospede,18/04/2026,25/04/2026,"1.386,48",Direto
404H,Hospede,01/05/2026,06/05/2026,"990,35",Airbnb
404H,Hospede,09/05/2026,15/05/2026,"1.188,41",Booking
404H,Hospede,18/05/2026,25/05/2026,"1.386,48",Direto
406H,Hospede,01/01/2026,06/01/2026,"1.038,91",Airbnb
406H,Hospede,09/01/2026,15/01/2026,"1.246,69",Booking
406H,Hospede,18/01/2026,25/01/2026,"1.454,47",Direto
406H,Hospede,01/02/2026,06/02/2026,"1.038,91",Airbnb
406H,Hospede,09/02/2026,15/02/2026,"1.246,69",Booking
406H,Hospede,18/02/2026,25/02/2026,"1.454,47",Direto
406H,Hospede,01/03/2026,06/03/2026,"1.038,91",Airbnb
406H,Hospede,09/03/2026,15/03/2026,"1.246,69",Booking
406H,Hospede,18/03/2026,25/03/2026,"1.454,47",Direto
406H,Hospede,01/04/2026,06/04/2026,"1.038,91",Airbnb
406H,Hospede,09/04/2026,15/04/2026,"1.246,69",Booking
406H,Hospede,18/04/2026,25/04/2026,"1.454,47",Direto
406H,Hospede,01/05/2026,06/05/2026,"1.038,91",Airbnb
406H,Hospede,09/05/2026,15/05/2026,"1.246,69",Booking
406H,Hospede,18/05/2026,25/05/2026,"1.454,47",Direto
304G,Hospede,01/01/2026,08/01/2026,"1.290,09",Airbnb
304G,Hospede,10/01/2026,18/01/2026,"1.474,38",Booking
304G,Hospede,20/01/2026,28/01/2026,"1.474,38",Direto
304G,Hospede,01/02/2026,08/02/2026,"1.290,09",Airbnb
304G,Hospede,10/02/2026,18/02/2026,"1.474,38",Booking
304G,Hospede,20/02/2026,28/02/2026,"1.474,38",Direto
304G,Hospede,01/03/2026,08/03/2026,"1.290,09",Airbnb
304G,Hospede,10/03/2026,18/03/2026,"1.474,38",Booking
304G,Hospede,20/03/2026,28/03/2026,"1.474,38",Direto
304G,Hospede,01/04/2026,08/04/2026,"1.290,09",Airbnb
304G,Hospede,10/04/2026,18/04/2026,"1.474,38",Booking
304G,Hospede,20/04/2026,28/04/2026,"1.474,38",Direto
304G,Hospede,01/05/2026,08/05/2026,"1.290,09",Airbnb
304G,Hospede,10/05/2026,18/05/2026,"1.474,38",Booking
304G,Hospede,20/05/2026,28/05/2026,"1.474,38",Direto
401G,Hospede,01/01/2026,08/01/2026,"1.307,68",Airbnb
401G,Hospede,10/01/2026,18/01/2026,"1.494,49",Booking
401G,Hospede,20/01/2026,28/01/2026,"1.494,49",Direto
401G,Hospede,01/02/2026,08/02/2026,"1.307,68",Airbnb
401G,Hospede,10/02/2026,18/02/2026,"1.494,49",Booking
401G,Hospede,20/02/2026,28/02/2026,"1.494,49",Direto
401G,Hospede,01/03/2026,08/03/2026,"1.307,68",Airbnb
401G,Hospede,10/03/2026,18/03/2026,"1.494,49",Booking
401G,Hospede,20/03/2026,28/03/2026,"1.494,49",Direto
401G,Hospede,01/04/2026,08/04/2026,"1.307,68",Airbnb
